date,state,county,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,latitude,longitude,Population_Density
2023-06-02,North Carolina,Mecklenburg,23.3,57.166667,10.217391,18.916667,4.077273,0.182609,0.257542,35.2401,-80.785683,173.36373022963411
2023-06-05,North Carolina,Mecklenburg,19.4,77.291667,11.375,17.666667,3.804167,0.116667,0.250304,35.2401,-80.785683,173.36373022963411
2023-06-08,North Carolina,Mecklenburg,20.7,56.083333,17.541667,24.416667,5.518182,0.208696,0.265174,35.2401,-80.785683,173.36373022963411
2023-06-11,North Carolina,Mecklenburg,20.5,80.0,12.958333,18.208333,2.758333,0.141667,0.252522,35.2401,-80.785683,173.36373022963411
2023-06-14,North Carolina,Mecklenburg,21.6,68.125,7.333333,12.0,3.445455,0.052174,0.205167,35.2401,-80.785683,173.36373022963411
2023-06-17,North Carolina,Mecklenburg,23.5,51.541667,22.333333,28.416667,5.2875,0.154167,0.351565,35.2401,-80.785683,173.36373022963411
2023-06-20,North Carolina,Mecklenburg,21.8,88.541667,5.166667,8.0,1.586364,0.0,0.157667,35.2401,-80.785683,173.36373022963411
2023-06-23,North Carolina,Mecklenburg,23.1,79.25,3.791667,5.458333,3.425,0.05,0.227957,35.2401,-80.785683,173.36373022963411
2023-06-26,North Carolina,Mecklenburg,25.5,62.25,4.541667,9.208333,2.577273,0.073913,0.180917,35.2401,-80.785683,173.36373022963411
2023-06-29,North Carolina,Mecklenburg,26.3,60.875,38.083333,47.041667,5.2125,0.320833,0.592087,35.2401,-80.785683,173.36373022963411
2023-07-02,North Carolina,Mecklenburg,28.7,64.375,12.291667,16.708333,1.390909,0.1,0.245042,35.2401,-80.785683,173.36373022963411
2023-07-05,North Carolina,Mecklenburg,27.4,65.25,14.041667,21.75,5.116667,0.35,0.261304,35.2401,-80.785683,173.36373022963411
2023-07-08,North Carolina,Mecklenburg,25.9,75.416667,5.416667,11.083333,4.577273,0.186957,0.262125,35.2401,-80.785683,173.36373022963411
2023-07-11,North Carolina,Mecklenburg,26.2,63.625,6.083333,11.958333,5.075,0.208333,0.229043,35.2401,-80.785683,173.36373022963411
2023-07-14,North Carolina,Mecklenburg,26.7,75.625,5.666667,8.916667,4.0,0.108696,0.189917,35.2401,-80.785683,173.36373022963411
2023-07-17,North Carolina,Mecklenburg,25.8,62.625,40.75,50.583333,7.316667,0.320833,0.443913,35.2401,-80.785683,173.36373022963411
2023-07-20,North Carolina,Mecklenburg,26.6,66.958333,5.833333,13.25,7.904545,0.326087,0.231958,35.2401,-80.785683,173.36373022963411
2023-07-23,North Carolina,Mecklenburg,24.4,77.25,8.166667,11.875,2.675,0.166667,0.252913,35.2401,-80.785683,173.36373022963411
2023-07-26,North Carolina,Mecklenburg,28.0,63.5,12.833333,18.791667,5.75,0.382609,0.36513,35.2401,-80.785683,173.36373022963411
2023-07-29,North Carolina,Mecklenburg,26.7,72.958333,2.625,5.5,2.083333,0.108333,0.14513,35.2401,-80.785683,173.36373022963411
2023-08-01,North Carolina,Mecklenburg,25.4,66.75,8.166667,13.708333,2.95,0.247826,0.240458,35.2401,-80.785683,173.36373022963411
